cluster_id,entities,count
PERSON_1,750bn,1
PERSON_2,Aaron Peake,1
PERSON_3,Andrew Davies,1
PERSON_4,Annalisa Camarillo,1
PERSON_5,Anne Brorhilker,1
PERSON_6,Armstrong,1
PERSON_7,Award,1
PERSON_8,Barnett,1
PERSON_9,Barry Loudermilk,1
PERSON_10,Ben Bahner,1
PERSON_11,Bhatt,1
PERSON_12,Biden,1
PERSON_13,Boccassini,1
PERSON_14,Catherine Cortez Masto,1
PERSON_15,Chuck Grassley,1
PERSON_16,Cortez Masto,1
PERSON_17,Craig Costigan,1
PERSON_18,Credas,1
PERSON_19,Daniel Holtzman,1
PERSON_20,Daria Kaleniuk,1
PERSON_21,David Lewis,1
PERSON_22,Duane Rivett,1
PERSON_23,Elon Musk,1
PERSON_24,Employee Retention Credit,1
PERSON_25,Equifax,1
PERSON_26,"FIs, Fis",2
PERSON_27,FinCEN,1
PERSON_28,François Fillon,1
PERSON_29,Gary Shiffman,1
PERSON_30,Gen AI-powered,1
PERSON_31,Giovanni Falcone,1
PERSON_32,Gloria Methri,1
PERSON_33,GovCon Wire,1
PERSON_34,Graham Bailey,1
PERSON_35,Graphyte,1
PERSON_36,Grassley,1
PERSON_37,Guy Ficco,1
PERSON_38,Hemma Lomax,1
PERSON_39,Ilda Boccassini,1
PERSON_40,Ilham Aliyev,1
PERSON_41,Jane Poole-Wilson,1
PERSON_42,Jason Somrak,1
PERSON_43,Jinisha Bhatt,1
PERSON_44,Juan Zarate,1
PERSON_45,Justin Fanelli,1
PERSON_46,K2 Integrity,1
PERSON_47,Karla Monterrosa-Yancey,1
PERSON_48,Khadija Ismayilova,1
PERSON_49,Kristi Noem,1
PERSON_50,Lauren Kohr,1
PERSON_51,Lisa Fine,1
PERSON_52,Machine Learning,1
PERSON_53,Manx,1
PERSON_54,Maria Luisa Signorini,1
PERSON_55,Michael Knight-Robson,1
PERSON_56,Mike Foster,1
PERSON_57,Monica Brink,1
PERSON_58,"Nasdaq Verafin, Nasdaq Verafin’s",2
PERSON_59,Omri Mor,1
PERSON_60,Oracle,1
PERSON_61,Paolo Borsellino,1
PERSON_62,Patricia Marinho,1
PERSON_63,Polaris,1
PERSON_64,Prajwala,1
PERSON_65,Regulations,1
PERSON_66,Salvatore Lombardo,1
PERSON_67,Samuel Rubenfeld,1
PERSON_68,Scott Bessent,1
PERSON_69,Silvio Berlusconi,1
PERSON_70,Singh,1
PERSON_71,Siobhan Blagbrough,1
PERSON_72,Sonny Singh,1
PERSON_73,Stephanie Champion,1
PERSON_74,Sunitha Krishnan,1
PERSON_75,Tarun Bhatia,1
PERSON_76,Thomas Bock,1
PERSON_77,Tim Barnett,1
PERSON_78,Tom Keatinge,1
PERSON_79,Trump,1
PERSON_80,Zapata,1
PERSON_81,Éliane Houlette,1
PERSON_82,’s headquarters,1
