title,contents,published_date,people,organizations,url
2025 Financial Crime Report - Kroll,"Executive Summary

By David Lewis and Thomas Bock

With AI-powered cybercrime disrupting businesses across industries and regulators imposing billion-dollar penalties for compliance failures, more than 70% of executives expect financial crime risk to increase in 2025—compared to 67% in 2023—yet only 23% believe their organization’s compliance program is “very effective” in combating it.

These are among the key takeaways from Kroll’s 2025 Financial Crime Report, which surveyed over 600 business leaders in the U.S., the UK, Europe, Asia Pacific, the Middle East and Africa. Respondents included CEOs, chief compliance officers, general counsel, and chief risk officers from leading financial services, accounting, insurance and legal services firms.

In addition to assessing financial crime expectations, concerns and readiness for the year ahead, the report examines how AI can fight—or enable—illicit activity and captures current sentiment around geopolitical threats, evolving regulations, supply chain risks and more.",2025-03-18T07:00:00,"['David Lewis', 'Thomas Bock']","['Kroll’s 2025', 'Financial Crime Report']",https://www.kroll.com/en/insights/publications/financial-crime-report-2025
Oracle Brings AI Agents to the Fight Against Financial Crime - Oracle,"Oracle Financial Services is supercharging its Investigation Hub Cloud Service with the addition of a broad class of AI agents and agentic workflows that enable financial firms to automate investigative processes needed to uncover complex patterns and fight financial crime. The agents help improve the overall quality and speed of reviewing suspicious activity by using generative AI-driven narratives to supplement investigators’ own analysis. This can save valuable time and resources by offloading many traditionally manual tasks and enabling investigators to focus their time on the most pressing leads. These new capabilities are available globally for financial institutions of all sizes using the Investigation Hub crime and case management solution.

“The addition of agentic AI capabilities to our Investigation Hub Cloud Service represents a paradigm shift in financial crime investigations,” said Jason Somrak, head of financial crime product strategy, Oracle Financial Services. “Our unique generative AI approach follows investigative plans, collects evidence, and recommends actions while providing investigators with robust narratives documenting the findings. This enables firms to drive consistency in decision making and thoroughly investigate all risks automatically while realizing massive operational efficiencies.”

Combatting crime with agentic AI

Financial institutions face mounting pressure to identify and combat increasingly sophisticated financial crime schemes while managing regulatory scrutiny. Traditional investigative processes often rely on tedious manual data collection and analysis that can be slow, resource-intensive, and prone to human error.

While some solutions employ AI chatbots that require investigators to ask the right questions in the right way, Oracle Financial Services delivers multiple AI agents that are designed to surface key insights, collect evidence, recommend decisions, and generate comprehensive alert narratives. This automated approach helps eliminate inconsistencies caused by variations in user queries and helps deliver more consistent and reliable information for investigative analysts.

These agents, driven by generative AI, can be leveraged to analyze alert information, including matches between customer data and sanction lists. From there, they can be used to automatically create compelling narratives that summarize the key details of each alert, providing financial crime and compliance investigators with relevant information to better conduct a thorough analysis and make data-informed decisions.

These new capabilities are part of the larger set of Oracle financial crime and compliance management solutions focused on making financial investigations more predictable, reliable, and credible using generative AI. For more information visit: https://www.oracle.com/financial-services/aml-financial-crime-compliance/",2025-03-13T07:00:00,['Jason Somrak'],"['Oracle Financial Services', 'Investigation Hub Cloud Service', 'AI', 'AI\n\nFinancial']",https://www.oracle.com/news/announcement/oracle-brings-ai-agents-to-the-fight-against-financial-crime-2025-03-13/
Financial Crime: Emerging Threats and Game-Changing Technology - ACAMS Today,You must be a member of ACAMS to see this content. Please login or join today for full access to www.ACAMSToday.org and other exclusive member-only content.,2025-04-02T19:49:08,[],['ACAMS'],https://www.acamstoday.org/financial-crime-emerging-threats-and-game-changing-technology/
Cross-Border Financial Crime Center - ice.gov,"In 2023, HSI established the Cross-Border Financial Crime Center (CBFCC) to promote collaboration on cross-border financial crime.

The CBFCC is a public-private partnership of federal law enforcement agencies, partner nations, banks and financial institutions, and financial technology companies.

The CBFCC supports the prosecution, disruption, and dismantlement of transnational criminal organizations, strengthens the financial and financial technology industries against illicit activity and enhances communication between government and private sector partners. HSI leverages its Cyber Crimes Center, Trade Transparency Units, and the Bulk Cash Smuggling Center to form the foundation for the CBFCC’s efforts to prevent TCOs, kleptocrats and oligarchs, professional money laundering organizations and other criminals from accessing the elaborate international systems used to launder money and hide and protect the secrecy of their criminally derived wealth.",2025-03-07T08:00:00,[],"['Cyber Crimes Center', 'the Cross-Border Financial Crime Center (CBFCC', 'CBFCC', 'HSI']",https://www.ice.gov/about-ice/hsi/centers-labs/cbfcc
Great Women in Compliance: Roundtable on The Future of Financial Crime Prevention - JD Supra,"In this episode of Great Women in Compliance, hosts Dr. Hemma Lomax and Lisa Fine bring together Patricia Marinho and Maria Luisa Signorini to discuss the future of financial crime prevention. The conversation delves into their extensive backgrounds in financial compliance, the role of technology and AI in anti-money laundering (AML) controls, and the challenges and advancements in the field. They also reflect on the importance of human oversight in AI-driven systems and share their visions for the future of AML See more +

In this episode of Great Women in Compliance, hosts Dr. Hemma Lomax and Lisa Fine bring together Patricia Marinho and Maria Luisa Signorini to discuss the future of financial crime prevention. The conversation delves into their extensive backgrounds in financial compliance, the role of technology and AI in anti-money laundering (AML) controls, and the challenges and advancements in the field. They also reflect on the importance of human oversight in AI-driven systems and share their visions for the future of AML technology.

Highlights include:

• A tour of the guest’s deep experience in financial regulation and risk management

• Key challenges in financial crime detection and prevention

• The role of innovation and emerging technology in compliance

• Trust and the expectation of regulators when it comes to AI in financial services

• Advice for compliance professionals leveraging community and mentorship See less -",2025-04-02T11:06:06,"['Maria Luisa Signorini', 'Patricia Marinho', 'Hemma Lomax', 'Lisa Fine']","['Great Women in Compliance', '• Trust', 'AML See', 'AML']",https://www.jdsupra.com/legalnews/great-women-in-compliance-roundtable-on-66262/
NICE Actimize Adds Agentic AI to Financial Crime Prevention Platform - PYMNTS.com,"NICE Actimize added agentic AI capabilities to X-Sight ActOne, the company’s platform for fraud and financial crime prevention.

Available through X-Sight ActOne’s InvestigateAI, the agentic AI capabilities orchestrate all fraud and financial crime prevention workflows on one platform, automate processes and engage human oversight only when necessary, the company said in a Wednesday (April 2) press release.

“This empowers financial institutions to scale operations and realize transformative cost and labor efficiencies,” NICE Actimize CEO Craig Costigan said in the release.

The agentic AI can autonomously craft an investigation plan based on a financial institution’s policy and procedures, understand the context of an investigation and execute upon the plan, and inject real-time data, according to the release.

It can also learn to become more effective with use, be trained to act upon many tasks, reverse prompt to engage humans when necessary, and provide explainability of its AI insights and actions so that there is full transparency and confidence for analysts and auditors, per the release.

“Equipped with AI and advanced analytics, the platform delivers outcomes and empowers investigators with the intelligence required for swift, accurate and efficient investigations,” the release said.

AI is arming companies to supercharge their defensive capabilities in terms of risk management, since trust and security are the foundation of financial transactions, PYMNTS reported March 19.

Meanwhile, Coupa added agentic AI features to its spend management platform in February, saying the offerings include a contract intelligence tool that improves contract language analysis and processes more contracts with standard and custom field extraction.

“Agentic AI will play a central role in making our collaborative global trade network grow,” Coupa Chief Product and Technology Officer Salvatore Lombardo said at the time in a press release.

During the same month, Routable enhanced its accounts payable automation platform by adding an AI agent that can detect invoice fraud and human error.

The AI agent scans invoices for anomalies and errors and, if it finds anything questionable, alerts AP teams to prevent fraud and error before it happens.

“AI has the power to help you do something humans can’t do, something previously impossible,” Routable CEO and co-founder Omri Mor said at the time in a press release.

For all PYMNTS AI coverage, subscribe to the daily AI Newsletter.",2025-04-02T17:35:47,"['Craig Costigan', 'Salvatore Lombardo', 'Omri Mor']","['NICE Actimize', 'AI Newsletter', 'Routable', 'AP', 'AI']",https://www.pymnts.com/news/artificial-intelligence/2025/nice-actimize-adds-agentic-ai-financial-crime-prevention-platform/
Senators re-up bill to expand Secret Service’s financial cybercrime authorities - CyberScoop,"A bipartisan pair of senators is taking another shot at their bill to expand the U.S. Secret Service’s investigative powers for financial cybercrime probes.

The Combatting Money Laundering in Cyber Crime Act from Sens. Catherine Cortez Masto, D-Nev., and Chuck Grassley, R-Iowa, would update federal law to strengthen the Secret Service’s authority, enabling the agency to look into criminal activity tied to digital assets.

“Dangerous criminals are constantly changing their tactics and using new technology to avoid detection,” Cortez Masto said in a statement. “Our law enforcement agencies need to adapt to keep communities safe. I will continue to fight to pass this bipartisan legislation that would help the Secret Service more effectively combat cybercrime.”

Under current law, the Secret Service is empowered to investigate cybercrimes that threaten national security, but those that are conducted via unlicensed money transmitting businesses fall outside the agency’s purview.

Advertisement

The legislation from Cortez Masto and Grassley, both members of the Senate Finance Committee, addresses that gap by allowing Secret Service members to probe digital asset transactions tied to transnational cyber criminal activity.

“As money laundering schemes continue to evolve, so must our capacity to combat them,” Grassley said in a statement. “By enhancing Secret Service’s authority to investigate criminal digital assets, our bill significantly improves law enforcement’s ability to effectively anticipate, identify and prevent cybercrime.”

Cortez Masto and Grassley first introduced this bill last July, but the legislation didn’t make it out of committee. The Nevada Democrat told CyberScoop at the time that “the funding of criminal activity through digital assets poses a direct threat to the security and safety of our nation.”

The Secret Service’s history with combatting cybercrime dates back to 2004 and the launch of its internal Cyber Investigative Section, one of the U.S. government’s first units dedicated to cybercrime.

Five years ago, the agency created its Cyber Fraud Task Forces. Since then, there’s been a steady drumbeat from current and former federal cyber officials calling for the Secret Service, FBI and Treasury Department to invest in the hiring of agents with cyber skills to pursue financial investigations.

Advertisement

In January 2024, the Secret Service said it would relaunch its Cyber Investigations Advisory Board, a 16-member body tasked with overhauling financial cybercrime investigative practices at the agency.

The Department of Justice and Treasury Department have warned in recent years about the increasing frequency with which digital assets are being used in ransomware attacks, fraud schemes, money laundering and other crimes.

Cortez Masto has had a particular focus on cybercrime and cryptocurrency, co-sponsoring the Digital Asset Anti-Money Laundering Act and helping to get the FinCEN Improvement Act — which strengthened the Financial Crimes Enforcement Network’s powers — passed and signed into law.",2025-04-04T19:03:28,"['Grassley', 'Chuck Grassley', 'Cortez Masto', 'Catherine Cortez Masto']","['the U.S. Secret Service’s', 'The Combatting Money Laundering', 'Cyber Investigations Advisory Board', 'the Secret Service’s', 'the Secret Service', 'The Department of Justice', 'the Senate Finance Committee', 'FBI', 'Cyber Investigative Section', 'the Financial Crimes Enforcement Network’s', 'Grassley', 'Secret Service', 'Treasury Department', 'The Secret Service’s', 'Secret Service’s', 'CyberScoop', 'Cyber Fraud Task Forces']",https://cyberscoop.com/secret-service-financial-cybercrimes-senate-bill/
Europe's Pivotal Role in Safeguarding Global Financial Stability and Fighting Financial Crime - Nasdaq,"European financial systems are confronting a $750 billion challenge that reveals the complex linkages between innovation, regulation, and criminal adaptability.

In a landmark report released this week, Nasdaq Verafin illuminates how the unprecedented complexity of modern financial networks helps to fuel global financial crime.

The Special Edition of the 2024 Global Financial Crime Report, Financial Crime Insights: Europe, offers a fresh, Europe-centric analysis, enriched with insights from anti-financial crime professionals across the region.

The report estimates that of the $3.1 trillion in illicit funds that flowed through the international financial system in 2023, Europe represents nearly a quarter of this massive economic challenge.

It also calls for European financial institutions to embrace collaboration and technology to fight financial crime, highlighting the unique opportunity for Europe to cement its position as a leader in financial crime prevention.

A Landscape of Complexity

The modern financial ecosystem is a web of remarkable intricacy. Rapid technological advancements, globalization, and increasingly sophisticated digital transactions have created a landscape that is simultaneously more connected and more vulnerable than ever before.

Today, criminals exploit new tools, tactics, and technologies to commit fraud, move money, and fund illicit activities, leveraging financial system complexities to evade detection.

This may take place in Europe, but the impact is global. “Criminals aren't bound by rules or borders or regulations, and so, there's no boundaries when it comes to criminal activity,” said Stephanie Champion, Head of Nasdaq Verafin. “European banks and financial institutions are currently working together and investing in fighting financial crime and Nasdaq’s new report illuminates the scale of this challenge.”

In 2023, $750 billion in illicit funds flowed through Europe’s financial system, equivalent to 2.3% of the continent's GDP. Meanwhile, scams and bank fraud totaled more than $100 billion in losses. Additionally, $195 billion in illicit flows moved across Europe’s borders, representing 26% of all money laundering activity in the region. “What we've learned, and what we continue to see, is that the financial industry is intrinsically connected,” said Champion. “What's happening in one jurisdiction is relevant to the other jurisdiction because of the interconnected nature of the financial system.”

Harnessing Technology to Safeguard the Integrity of the Financial System

As Nasdaq and Boston Consulting Group’s 2025 Complexity Report highlights, rapidly evolving financial crime threats interact with equally dynamic regulatory expectations. Banks are increasingly active innovators, constantly adapting to a complex, sophisticated threat landscape.

As the financial sector works to stay ahead of criminal networks, artificial intelligence is emerging as a powerful ally. A remarkable 74% of anti-financial crime professionals are proactively planning to increase spending on AI and machine learning in the next two years, with 83% exploring generative AI use cases.

For one example of AI in practice, Nasdaq Verafin has developed AI-powered tools that can automate daily compliance tasks, enabling organizations to concentrate on investigating serious criminal activities like human trafficking and drug trafficking.

“That allows our customers to really focus on targeted typologies and real underlying crime that has true human impact,” Champion explained, adding that this transforms compliance from a time-consuming checkbox exercise into a dynamic, risk-based process.

Fostering Collaboration to Break Down Institutional Barriers

The new report also reveals a promising insight into how financial institutions approach crime prevention.

“What we certainly experienced in our customer base is that they really put their differences aside with respect to being competitors,” Champion said. “They know that this problem can only be solved if we work together.”

Champion said she is also seeing a growing alignment between the public and private sectors on common goals and the prioritization of financial crime prevention—including regulatory changes that cut through complexity and strengthen financial institutions’ ability to share information.

In particular, the European Union's latest Anti-Money Laundering package includes an article specifically aimed at facilitating information sharing across sectors and across borders.

“We see a tremendous amount of momentum in these areas across Europe,” Champion said, adding that the continent now stands at a defining moment. Tackling the $3.1 trillion global illicit funds challenge calls for a unified approach, she said—one that blends cutting-edge technology, regulatory agility, and seamless collaboration.

Champion is confident that the region is up to the challenge. “We can do that through technology, through regulation, connecting banks together, through private-public partnerships. So we're in an ecosystem that really allows banks to work together in the fight against financial crime.”

To learn more about the scale and impact of financial crime in Europe read the full report.",2025-04-01T14:00:00,['Stephanie Champion'],"['Boston Consulting Group’s', 'Anti-Money Laundering', 'Global Financial Crime Report', 'Nasdaq Verafin', 'Nasdaq', 'Champion', ""the European Union's""]",https://www.nasdaq.com/newsroom/europes-pivotal-role-safeguarding-global-financial-stability-and-fighting-financial-crime
A proactive and valuable FIU - Deloitte,"The Financial Intelligence Unit (FIU) of a Subject Person (SP) is critical in enhancing the overall efficiency and effectiveness of the organisation’s response to financial crime (FC).

An FIU that is intelligence-led, tech-enabled and proactive has the power to identify, evaluate, and respond to threats faster and more effectively by putting actionable intelligence in the hands of those that can do something about it. It also has the potential to help the SP keep pace with evolving regulatory expectations around the effective application of the risk-based approach.

Within many SPs, the assessment of FC risk is still undertaken in silos. Data from different business areas and across domains is not brought together effectively for collective analysis and is not routinely enriched by external sources of intelligence. This inherently undermines the quality of analysis that can be conducted, and the outcomes delivered.

In addition, FIUs themselves are often ‘underpowered’, comprising only a small team of investigation analysts who are too often engaged in providing reactive support to law enforcement requests, over proactive intelligence and analysis. As a result, an SP’s ability to identify threats and respond to them proactively is undermined – as is the effectiveness and the efficiency of their response to FC.

How do you address this challenge?

In our view, the FIU needs to be multi-disciplined across fraud and FC risk domains with the following key responsibilities:

Identification – access to a holistic view of the customer to provide faster and more precise information to senior management, the business and law enforcement and to inform the identification of emerging and evolving threats. Analysis – development of comprehensive analysis of customer information to provide proactive intelligence to safeguard customers, the organisation and enhance controls. Advanced analytics skills will be applied, such as behavioural customer profiling. Dissemination – production of both tactical and strategic intelligence that is quickly actionable, both internally and externally.

For this model to be successfully deployed, the FIU must have access to:

A comprehensive view of all customer data (made available through the convergence of monitoring across customer behaviour and risk domains, dynamic customer lifecycle management and intelligence-led risk assessments), enriched with Open Source Intelligence (OSINT), and access to intelligence from intelligence sharing partnerships with other public and private sector stakeholders in the ecosystem.

Technologies that enable enriched customer data to be visualised, analysed, assessed, and actioned. Increased adoption and integration of Artificial Intelligence (AI) and Machine Learning (ML) solutions will also be of benefit by reducing manual effort and enabling trends to be spotted which might not be visible to the eye when dealing with lots of data.

FIU analysts who lead complex investigations but are also data literate to enable a greater understanding of how data can be manipulated and be able to query increasingly larger datasets.

In addition, it will be critical that the FIU has effective engagement with policymakers to secure permissions to embrace reformed ways of working.

Intra-bank sharing of information is critical, across its various entities, cross border, and via appropriate gateways. Information should also be available for analysis across risk domains, in particular, bringing together FC, fraud and cyber security data, which is still often addressed within silos in FIs. Other than the connection of fraudulent activity producing illicit funds that need to be laundered, it is often the same criminal actors perpetrating these crimes and they do not stick to one type, meaning collaboration amongst specialists in these areas would be valuable in an attempt to outsmart criminals. Often within global organisations, regulations restrict such sharing of information across jurisdictions, therefore this model will require internal and external governance arrangements to ensure data privacy regulatory and legal requirements are met.

Similarly, inter-bank and public-private partnerships are critical for enriching intelligence and harmonising the ecosystem of actors who are fighting FC. With a number of information sharing initiatives already in flight, such as: Article 75 of the new European Union Anti-Money Laundering Regulations1, the UK’s National Economic Crime Centre (NECC) led Fusion Pilot2; Transaction Monitoring Netherlands (TMNL); and, Collaborative Sharing of Money Laundering/Terrorism Financing Information & Cases (COSMIC) in Singapore bringing in new powers for information sharing; the FIU of the future is likely to have access to a much more diverse intelligence.

We recognise that what we describe represents a significant change from the model that currently exists in many banks and bank FIUs, and would require, in some cases, substantial re-structuring. However, we think these changes are valuable and suggest prioritising:

People – transitioning to multi-disciplined intelligence leads with expertise across several risk domains, and a clear distinction between investigative and proactive intelligence roles to ensure intelligence analysts are given the time and capacity to work on proactive intelligence without getting inundated with reactive investigations. In addition, more broadly within the FIU team, there is a need for resources with data-oriented backgrounds.

– transitioning to multi-disciplined intelligence leads with expertise across several risk domains, and a clear distinction between investigative and proactive intelligence roles to ensure intelligence analysts are given the time and capacity to work on proactive intelligence without getting inundated with reactive investigations. In addition, more broadly within the FIU team, there is a need for resources with data-oriented backgrounds. Process – production of authoritative intelligence to drive effective risk management across all domains. This will include an increased focus on ‘top-down’ thematic-based investigations, with effective outcome feedback-loops into risk/threat assessments and front-line FC controls.

Technology – investment in data, technologies, and partnerships to enable the creation and analysis of holistic customer views.

Alongside this, governance processes will need to be adapted both within the FIU and across the first and second lines of defence FC teams. Similarly, FC teams will need to put the required data and technology, processes, and procedures in place to harness and effectively exploit the outputs from the FIU across the organisation.

The outcome of these changes will have potential benefits across the entire organisation. SPs will be able to make better assessments of customer risk through holistic analysis. Targeted intelligence will help more effective detection of illicit activities, as well as driving efficiencies in the control framework. These improvements in efficiency and effectiveness will in turn lead to:

Better customer service (safeguarding customers through a reduction in fraud and FC exploitation);

Enhanced reputation with regulators and policy makers;

Enhanced quality of intelligence reporting; and

Improved time and cost efficiencies.

Criminals are often ahead of law enforcement and the controls that SPs put in place; they are aware of loopholes within the system and are opportunistic in exploiting them. Banks have a role to play, both in terms of meeting regulatory requirements, and being active in helping the system as a whole to better tackle FC. The existing system has a number of inadequacies that FIUs are well-placed to help address by taking a leading role in utilising technology, leveraging all accessible data in an analytical manner and actively participating in information sharing initiatives.



",2025-04-02T07:00:00,[],"['Open Source Intelligence', 'Transaction Monitoring Netherlands', 'National Economic Crime Centre', 'FIU', 'SP', 'FC', 'OSINT', 'Intra-bank', 'TMNL', 'The Financial Intelligence Unit (FIU', 'a Subject Person (SP', 'European Union', 'Machine Learning', 'ML', 'inter-bank', 'Artificial Intelligence (AI']",https://www.deloitte.com/mt/en/services/consulting-financial/blogs/a-proactive-and-valuable-FIU.html
Chartis Ranks Quantifind #1 in the Financial Crimes and Compliance 50 Report for Dynamic Risk Typologies--Underscoring why 7 of the top 10 banks in the US choose Quantifind - PR Newswire,"PALO ALTO, Calif., March 18, 2025 /PRNewswire/ -- In a time when financial crime is evolving at an unprecedented pace, Quantifind has been recognized as the #1 AI Risk Intelligence Provider in the 2025 Financial Crimes and Compliance 50 (FCC50) Report by Chartis Research. This distinction reinforces Quantifind's leadership in AI-driven financial crime risk intelligence, equipping financial institutions, governments, and corporations with the power to detect, assess, and mitigate emerging threats with unparalleled accuracy, speed, and scale.

The Convergence of Financial Crime Risks Requires Advanced Intelligence

The global financial crime landscape has grown more complex, with illicit actors leveraging new technologies and geopolitical instability to exploit vulnerabilities across banking, fintech, and supply chain networks. Operation Destabilise, a U.K.-led initiative, recently uncovered a money-laundering network linking Russian operatives, European drug cartels, and cryptocurrency exchanges used to evade sanctions—a clear demonstration of how traditional organized crime, state actors, and emerging financial technologies are increasingly interconnected (Financial Times, 2024).

The ability to assess risk dynamically across multiple typologies—spanning sanctions evasion, fraud, money laundering, and human trafficking—is now mission-critical for compliance teams. Without real-time, AI-powered intelligence, financial institutions risk being reactive rather than proactive, allowing threats to materialize before they can be stopped.

""Financial crime networks operate across industries, borders, and regulatory frameworks—and fighting them requires a united front, said Annalisa Camarillo, EVP of Marketing at Quantifind."" "" On March 25, we are hosting the Human Trafficking Convergence event with our partners Polaris and Deloitte, major financial institutions, and public sector partners to leverage our AI-powered risk typologies in the real world. This event is about more than discussion; it's about action—applying financial crime intelligence to expose hidden networks and stop illicit finance at its source.

Why Quantifind is #1 in Risk Typology Functionality

Chartis' ranking evaluates vendors based on market influence, technological innovation, and strategic execution. Quantifind's top placement in Risk Typology Functionality reflects its ability to:

Deliver Accuracy in Risk Identification

The AI Risk Intelligence platform's intelligence significantly reduces false positives while elevating true risk signals, ensuring compliance teams focus on what truly matters.

Accelerate Investigations with AI-driven Context and Speed

Advanced entity resolution and contextual scoring give investigators real-time, actionable insights.

Scale with the Growing Complexity of Financial Crime

Risk typology assessments allow institutions to detect and prevent threats before they escalate.

Quantifind ability to screen tens of millions of entities in hours, with sub-100-ms API response times.

Uncover Hidden Risks

Quantifind excels in detecting complex financial crime patterns such as human trafficking, sanctions evasion, and money laundering, mapping them to real-world risk factors that are 2-3 degrees embedded in entity counterparties

Provide the Most Comprehensive Financial Crime Typology Coverage

Tailored risk models address sector-specific threats across banking, fintech, public sector, supply chain risk, and beyond.

Holistic intelligence spanning KYC, transaction surveillance, adverse media, sanctions screening, and payments.

""The financial crime space is evolving faster than ever before, and legacy risk models simply can't keep up,"" said Graham Bailey, COO at Quantifind. ""Being ranked #1 in Risk Typology Functionality is a testament to the power of our AI-driven approach, which enables financial institutions to not only keep pace with emerging threats but stay ahead of them.""

About Quantifind

Quantifind is the leader in financial crime intelligence automation, providing purpose-built AI solutions that transform how organizations detect and mitigate risk. The Graphyte™ platform serves as an essential AI co-pilot, delivering real-time, accurate risk assessments by integrating internal data with complex, unstructured public information to uncover hidden threats and reduce false positives with unprecedented accuracy, speed, and scale.

For more information, visit www.quantifind.com .

Media Contact

Annalisa Camarillo

EVP of Marketing, Quantifind

Email: [email protected]

SOURCE Quantifind",2025-03-18T07:00:00,"['Graphyte', 'Graham Bailey', 'Annalisa Camarillo', 'Polaris']","['Deloitte', 'Operation Destabilise', 'Financial Crimes and Compliance', 'API', 'the Growing Complexity of Financial Crime\n\nRisk', 'The Convergence of Financial Crime Risks Requires Advanced Intelligence', 'Financial Times', 'Quantifind', 'EVP', 'Chartis Research', 'COO', 'AI', 'KYC']",https://www.prnewswire.com/news-releases/chartis-ranks-quantifind-1-in-the-financial-crimes-and-compliance-50-report-for-dynamic-risk-typologiesunderscoring-why-7-of-the-top-10-banks-in-the-us-choose-quantifind-302404451.html
