cluster_id,entities,count
ORG_1,"ACAMS, CAMS",2
ORG_2,ACDC,1
ORG_3,AFC,1
ORG_4,AI,1
ORG_5,"AI

Financial",1
ORG_6,AI Newsletter,1
ORG_7,AI Regulation White Paper,1
ORG_8,AI Summit,1
ORG_9,AML,1
ORG_10,AML See,1
ORG_11,AML/CFT,1
ORG_12,AP,1
ORG_13,APAC,1
ORG_14,APAC Edition,1
ORG_15,API,1
ORG_16,"Amnesty International, Human Rights Watch",1
ORG_17,Amnesty International’s,1
ORG_18,Anti-Fraud Coordination Service,1
ORG_19,Anti-Money Laundering,1
ORG_20,Application Programming Interfaces,1
ORG_21,"Article Topics

AML",1
ORG_22,Artificial Intelligence (AI,1
ORG_23,BBC,1
ORG_24,BDO,1
ORG_25,BSA,1
ORG_26,"Bank Secrecy Act, the Bank Secrecy Act",2
ORG_27,"Barbados, Gibraltar",1
ORG_28,BiH,1
ORG_29,Boston Consulting Group’s,1
ORG_30,CAHTC.org,1
ORG_31,CBFCC,1
ORG_32,"CI-FIRST, IRS-CI",2
ORG_33,COO,1
ORG_34,CTR,1
ORG_35,Central Banks,1
ORG_36,Champion,1
ORG_37,Chartis Research,1
ORG_38,"ComplyAdvantage, ComplyAdvantage AML",2
ORG_39,Computer Weekly,1
ORG_40,"Consilient, Consilient’s",2
ORG_41,Contact Your Bank,1
ORG_42,CredAbility,1
ORG_43,Credas,1
ORG_44,Credas Technologies,1
ORG_45,CumEx,1
ORG_46,Customs,1
ORG_47,Cyber Crimes Center,1
ORG_48,Cyber Fraud Task Forces,1
ORG_49,Cyber Investigations Advisory Board,1
ORG_50,Cyber Investigative Section,1
ORG_51,CyberScoop,1
ORG_52,Deloitte,1
ORG_53,Department of Defense AI Office,1
ORG_54,Department of Homeland Security,1
ORG_55,Digital,1
ORG_56,ECFT,1
ORG_57,EDD,1
ORG_58,EU,1
ORG_59,EVP,1
ORG_60,"European Union, the European Union",2
ORG_61,FATF,1
ORG_62,FBI,1
ORG_63,FC,1
ORG_64,FIU,1
ORG_65,Financial Crime,1
ORG_66,Financial Crime Insights: Europe,1
ORG_67,"Financial Crime Report, Global Financial Crime Report",2
ORG_68,"Financial Crimes Enforcement Network, THE U.S. Financial Crimes Enforcement Network, the Financial Crimes Enforcement Network’s",3
ORG_69,Financial Crimes and Compliance,1
ORG_70,Financial Data Access,1
ORG_71,Financial Institutions (FI,1
ORG_72,"Financial Intelligence, Financial Intelligence Unit",2
ORG_73,Financial Times,1
ORG_74,Finanzwende,1
ORG_75,Fivecast,1
ORG_76,Fortune Media IP Limited,1
ORG_77,GCW,1
ORG_78,GLOBE NEWSWIRE,1
ORG_79,GSC,1
ORG_80,Georgetown University,1
ORG_81,"Government, HM Government",2
ORG_82,Government Accountability Office,1
ORG_83,Grassley,1
ORG_84,Great Women in Compliance,1
ORG_85,HM Revenue,1
ORG_86,HSBC,1
ORG_87,HSI,1
ORG_88,Harex InfoTech,1
ORG_89,Homeland Security,1
ORG_90,House,1
ORG_91,IRS,1
ORG_92,"IRS Criminal Investigation, IRS Criminal Investigations, The IRS Criminal Investigation",3
ORG_93,IRS-CI’s,1
ORG_94,ISIS,1
ORG_95,Illegal Wildlife Trade,1
ORG_96,Insight,1
ORG_97,Intel,1
ORG_98,International Financial Institutions,1
ORG_99,International Women’s Day,1
ORG_100,"Intra-bank, inter-bank",2
ORG_101,Investigation Hub,1
ORG_102,Investigation Hub Cloud Service,1
ORG_103,Ismayilova,1
ORG_104,JB,1
ORG_105,KYC,1
ORG_106,Knight-Robson,1
ORG_107,Kraken Exchange’s,1
ORG_108,Kroll,1
ORG_109,Kroll’s 2025,1
ORG_110,ML,1
ORG_111,MLRO,1
ORG_112,Machine Learning,1
ORG_113,Mafia,1
ORG_114,Meta Join UK Banks,1
ORG_115,Mozambique,1
ORG_116,NICE Actimize,1
ORG_117,Nasdaq,1
ORG_118,Nasdaq Verafin,1
ORG_119,Nasdaq Verafin’s Financial Crime Insights: Europe,1
ORG_120,National Economic Crime Centre,1
ORG_121,Navy,1
ORG_122,Nordics,1
ORG_123,OLAF,1
ORG_124,OSINT,1
ORG_125,Ocean Finance,1
ORG_126,Open Source Intelligence,1
ORG_127,Operation Destabilise,1
ORG_128,Oracle,1
ORG_129,Oracle CloudWorld Tour Singapore,1
ORG_130,Oracle Financial Services,1
ORG_131,Oracle’s AI,1
ORG_132,PAUL O’DONOGHUE,1
ORG_133,PNF,1
ORG_134,POLITICO,1
ORG_135,Padmashree,1
ORG_136,Potomac Officers Club,1
ORG_137,Quantifind,1
ORG_138,Routable,1
ORG_139,SP,1
ORG_140,"Secret Service, Secret Service’s, the Secret Service",3
ORG_141,Sensa-NetReveal,1
ORG_142,Swedish Television,1
ORG_143,THE Internal Revenue Service’s,1
ORG_144,TMNL,1
ORG_145,Target,1
ORG_146,TeliaSonera,1
ORG_147,The Associated Press,1
ORG_148,The Combatting Money Laundering,1
ORG_149,The Convergence of Financial Crime Risks Requires Advanced Intelligence,1
ORG_150,The Department of Justice,1
ORG_151,"The Environmental Crimes Financial Toolkit, the Environmental Crimes Financial Toolkit",2
ORG_152,The Financial Intelligence Unit (FIU,1
ORG_153,The Independent,1
ORG_154,"The Secret Service’s, the Secret Service’s, the U.S. Secret Service’s",3
ORG_155,The St. Johns County Sheriff's Office,1
ORG_156,The State of Financial Crime,1
ORG_157,The U.S. Department of State,1
ORG_158,Toolkit,1
ORG_159,Tracey BBC News,1
ORG_160,"Trade, Data Privacy & Security, Technology",1
ORG_161,Transaction Monitoring Netherlands,1
ORG_162,Transparency International,1
ORG_163,Treasury,1
ORG_164,Treasury Department,1
ORG_165,Trump,1
ORG_166,Trump Organization,1
ORG_167,Trump’s,1
ORG_168,UBO,1
ORG_169,UHNW,1
ORG_170,WWF,1
ORG_171,WealthBriefing,1
ORG_172,Zarate,1
ORG_173,a Subject Person (SP,1
ORG_174,activism.10,1
